raw_size,sifted_size,seed,sampling_rate,realized_sampling_rate,qber,accuracy,baseline_accuracy,remaining_errors,constraints,rank,violations,optimal,solve_seconds,z3_checks
2048,1019,42,0.0,0.0,0.0,0.4896957801766438,0.49067713444553485,520,113,98,0,True,0.0065795419504866,0
2048,1019,42,0.25,0.23552502453385674,0.012757605495583905,0.6251226692836114,0.6113837095191365,382,180,165,0,True,0.0074845419730991125,0
2048,1019,42,0.5,0.49950932286555444,0.02747791952894995,0.7644749754661433,0.7291462217860648,240,250,234,0,True,0.008045208058319986,0
2048,1019,42,0.75,0.7595682041216879,0.045142296368989206,0.9136408243375859,0.8341511285574092,88,346,325,0,True,0.009060542099177837,0
2048,1019,42,1.0,1.0,0.06378802747791953,1.0,0.9401373895976447,0,475,400,0,True,0.010193209047429264,0
8192,4158,42,0.0,0.0,0.0,0.493987493987494,0.4971139971139971,2104,312,297,0,True,0.03227429208345711,0
8192,4158,42,0.25,0.23857623857623858,0.013949013949013949,0.6161616161616161,0.5978835978835979,1596,592,576,0,True,0.03843791701365262,0
8192,4158,42,0.5,0.4983164983164983,0.031746031746031744,0.7614237614237614,0.7113997113997114,992,973,936,0,True,0.04402929195202887,0
8192,4158,42,0.75,0.7421837421837422,0.04713804713804714,0.8912938912938912,0.8157768157768158,452,1311,1224,0,True,0.051335166092030704,0
8192,4158,42,1.0,1.0,0.06277056277056277,1.0,0.935064935064935,0,1690,1505,0,True,0.0652072080411017,0
32768,16402,42,0.0,0.0,0.0,0.5034751859529326,0.5040238995244483,8144,1147,1132,0,True,0.1890336669748649,0
32768,16402,42,0.25,0.24454334837214975,0.01664431166930862,0.6312644799414705,0.6087672235093281,6048,2468,2448,0,True,0.25828854099381715,0
32768,16402,42,0.5,0.49865870015851727,0.03213022802097305,0.7601512010730399,0.7154615290818193,3934,3815,3740,0,True,0.35796241695061326,0
32768,16402,42,0.75,0.7489940251188879,0.04682355810267041,0.8965979758566028,0.8253871479087916,1696,5164,4875,0,True,0.4681760830571875,0
32768,16402,42,1.0,1.0,0.06163882453359346,1.0,0.9372027801487623,0,6494,5882,0,True,0.5303277919301763,0
131072,65621,42,0.0,0.0,0.0,0.5015924780177078,0.501851541427287,32706,4517,4502,0,True,2.078502207994461,0
131072,65621,42,0.25,0.25075814144862163,0.016046692369820637,0.6317337437710489,0.6093476173785831,24166,9642,9600,0,True,4.015282165957615,0
131072,65621,42,0.5,0.4987123024641502,0.03140762865546091,0.7610825802715594,0.7164931957757426,15678,14898,14563,0,True,5.912119667045772,0
131072,65621,42,0.75,0.7497752243946297,0.046814282013379865,0.8989652702640923,0.8293838862559242,6630,20587,19352,0,True,7.943469249992631,0
131072,65621,42,1.0,1.0,0.06315051584096555,1.0,0.938693406074275,0,26766,23923,0,True,9.684231208986603,0
400000,199871,42,0.0,0.0,0.0,0.5001375887447403,0.5002326500592882,99908,13671,13656,0,True,22.138405665988103,0
400000,199871,42,0.25,0.2504115154274507,0.015510003952549395,0.6308518994751615,0.6097632973267758,73782,28659,28552,0,True,35.69974083302077,0
400000,199871,42,0.5,0.5013283567901297,0.03087491431973623,0.7644080431878562,0.720019412521076,47088,44664,43765,0,True,50.88835508306511,0
400000,199871,42,0.75,0.7496235071621196,0.04637491181812269,0.8986045999669787,0.8288245918617508,20266,61699,58272,0,True,73.14194624999072,0
400000,199871,42,1.0,1.0,0.06235521911633003,1.0,0.9379299648273136,0,80410,72293,0,True,98.16444291605148,0
